Category,Name,Portion(fl oz),Calories,Calories from fat,Total Fat(g),Saturated fat(g),Trans fat(g),Cholesterol(mg),Sodium(mg),Total Carbohydrate(g),Dietary Fiber(g),Sugars(g),Protein(g),Caffeine(mg),Size,Milk,Whipped Cream
espresso,Pumpkin Spice Latte,12.0,240,90,11.0,4.0,0.0,25,180,33,1,30,4,75,Tall,Almond,Whipped Cream
espresso,Pumpkin Spice Latte,12.0,200,50,6.0,6.0,0.0,0,160,35,0,33,3,75,Tall,Coconut,No Whipped Cream
espresso,Pumpkin Spice Latte,12.0,260,110,12.0,9.0,0.0,25,170,37,0,35,3,75,Tall,Coconut,Whipped Cream
espresso,Pumpkin Spice Latte,12.0,200,5,0.0,0.0,0.0,5,170,39,0,38,11,75,Tall,Nonfat milk,No Whipped Cream
espresso,Pumpkin Spice Latte,12.0,260,60,6.0,4.0,0.0,30,170,40,0,39,11,75,Tall,Nonfat milk,Whipped Cream
espresso,Pumpkin Spice Latte,12.0,270,80,8.0,5.0,0.0,25,170,38,0,37,10,75,Tall,Whole Milk,No Whipped Cream
espresso,Pumpkin Spice Latte,12.0,330,130,15.0,9.0,0.0,50,180,40,0,39,11,75,Tall,Whole Milk,Whipped Cream
espresso,Pumpkin Spice Latte,12.0,240,45,5.0,3.5,0.0,20,180,38,0,37,11,75,Tall,2% Milk,No Whipped Cream
espresso,Pumpkin Spice Latte,12.0,300,100,11.0,7.0,0.0,45,190,40,0,39,11,75,Tall,2% Milk,Whipped Cream
espresso,Pumpkin Spice Latte,12.0,240,35,4.0,0.5,0.0,0,150,42,1,38,9,75,Tall,Soy (United States),No Whipped Cream
espresso,Pumpkin Spice Latte,12.0,300,90,10.0,4.5,0.0,25,160,43,1,39,9,75,Tall,Soy (United States),Whipped Cream
espresso,Pumpkin Spice Latte,16.0,230,50,6.0,0.5,0.0,0,220,42,2,38,5,150,Grande,Almond,No Whipped Cream
espresso,Pumpkin Spice Latte,16.0,300,110,13.0,5.0,0.0,30,230,44,2,40,6,150,Grande,Almond,Whipped Cream
espresso,Pumpkin Spice Latte,16.0,260,70,7.0,7.0,0.0,0,210,46,0,44,4,150,Grande,Coconut,No Whipped Cream
espresso,Pumpkin Spice Latte,16.0,340,130,14.0,11.0,0.0,30,220,48,0,46,4,150,Grande,Coconut,Whipped Cream
espresso,Pumpkin Spice Latte,16.0,260,5,0.0,0.0,0.0,10,210,51,0,49,14,150,Grande,Nonfat milk,No Whipped Cream
espresso,Pumpkin Spice Latte,16.0,330,70,7.0,4.5,0.0,35,220,53,0,51,14,150,Grande,Nonfat milk,Whipped Cream
espresso,Pumpkin Spice Latte,16.0,350,100,11.0,6.0,0.0,35,220,50,0,48,13,150,Grande,Whole Milk,No Whipped Cream
espresso,Pumpkin Spice Latte,16.0,420,160,18.0,10.0,0.5,60,220,52,0,50,14,150,Grande,Whole Milk,Whipped Cream
espresso,Pumpkin Spice Latte,16.0,310,60,7.0,4.0,0.0,25,230,50,0,48,14,150,Grande,2% Milk,No Whipped Cream
espresso,Pumpkin Spice Latte,16.0,380,120,14.0,8.0,0.0,55,240,52,0,50,14,150,Grande,2% Milk,Whipped Cream
espresso,Pumpkin Spice Latte,16.0,310,45,5.0,0.5,0.0,0,200,55,1,49,12,150,Grande,Soy (United States),No Whipped Cream
espresso,Pumpkin Spice Latte,16.0,380,110,12.0,5.0,0.0,30,200,57,1,51,12,150,Grande,Soy (United States),Whipped Cream
espresso,Pumpkin Spice Latte,20.0,290,70,7.0,0.5,0.0,0,290,52,2,47,7,150,Venti,Almond,No Whipped Cream
espresso,Pumpkin Spice Latte,20.0,360,130,14.0,5.0,0.0,30,290,54,2,49,7,150,Venti,Almond,Whipped Cream
espresso,Pumpkin Spice Latte,20.0,330,90,10.0,9.0,0.0,0,270,58,0,55,5,150,Venti,Coconut,No Whipped Cream
espresso,Pumpkin Spice Latte,20.0,410,150,17.0,14.0,0.0,30,280,60,0,57,5,150,Venti,Coconut,Whipped Cream
espresso,Pumpkin Spice Latte,20.0,330,5,0.5,0.0,0.0,10,280,64,0,62,18,150,Venti,Nonfat milk,No Whipped Cream
espresso,Pumpkin Spice Latte,20.0,400,70,8.0,4.5,0.0,35,280,66,0,64,18,150,Venti,Nonfat milk,Whipped Cream
espresso,Pumpkin Spice Latte,20.0,440,130,14.0,8.0,0.0,45,280,64,0,62,17,150,Venti,Whole Milk,No Whipped Cream
espresso,Pumpkin Spice Latte,20.0,520,190,21.0,12.0,0.5,70,290,66,0,64,18,150,Venti,Whole Milk,Whipped Cream
espresso,Pumpkin Spice Latte,20.0,400,80,9.0,5.0,0.0,35,300,64,0,62,18,150,Venti,2% Milk,No Whipped Cream
espresso,Pumpkin Spice Latte,20.0,470,140,16.0,10.0,0.5,60,300,66,0,64,18,150,Venti,2% Milk,Whipped Cream
espresso,Pumpkin Spice Latte,20.0,400,60,7.0,1.0,0.0,0,250,69,2,62,15,150,Venti,Soy (United States),No Whipped Cream
espresso,Pumpkin Spice Latte,20.0,470,120,14.0,5.0,0.0,30,260,71,2,64,16,150,Venti,Soy (United States),Whipped Cream
espresso,Salted Caramel Mocha,8.0,150,35,3.5,1.0,0.0,0,140,27,3,22,3,90,Short,Almond,No Whipped Cream
espresso,Salted Caramel Mocha,8.0,220,90,10.0,4.5,0.0,20,200,32,3,27,3,90,Short,Almond,Whipped Cream
espresso,Salted Caramel Mocha,8.0,160,40,4.5,3.5,0.0,0,130,29,2,24,2,90,Short,Coconut,No Whipped Cream
espresso,Salted Caramel Mocha,8.0,240,90,10.0,7.0,0.0,20,200,34,2,29,2,90,Short,Coconut,Whipped Cream
espresso,Salted Caramel Mocha,8.0,160,15,1.5,1.0,0.0,5,135,31,2,26,6,90,Short,Nonfat milk,No Whipped Cream
espresso,Salted Caramel Mocha,8.0,240,70,7.0,4.5,0.0,25,200,36,2,32,7,90,Short,Nonfat milk,Whipped Cream
espresso,Salted Caramel Mocha,8.0,200,50,6.0,3.5,0.0,15,135,30,2,26,6,90,Short,Whole Milk,No Whipped Cream
espresso,Salted Caramel Mocha,8.0,270,110,12.0,7.0,0.0,35,200,36,2,31,6,90,Short,Whole Milk,Whipped Cream
espresso,Salted Caramel Mocha,8.0,180,35,4.0,2.5,0.0,10,140,30,2,26,6,90,Short,2% Milk,No Whipped Cream
espresso,Salted Caramel Mocha,8.0,260,90,10.0,6.0,0.0,35,210,36,2,31,7,90,Short,2% Milk,Whipped Cream
espresso,Salted Caramel Mocha,8.0,180,30,3.5,1.0,0.0,0,125,32,2,27,5,90,Short,Soy (United States),No Whipped Cream
espresso,Salted Caramel Mocha,8.0,260,80,9.0,4.5,0.0,20,190,38,2,32,6,90,Short,Soy (United States),Whipped Cream
espresso,Salted Caramel Mocha,12.0,220,50,6.0,1.5,0.0,0,210,40,4,33,4,95,Tall,Almond,No Whipped Cream
espresso,Salted Caramel Mocha,12.0,310,120,13.0,6.0,0.0,25,280,47,4,39,4,95,Tall,Almond,Whipped Cream
espresso,Salted Caramel Mocha,12.0,250,60,7.0,6.0,0.0,0,210,43,3,37,3,95,Tall,Coconut,No Whipped Cream
espresso,Salted Caramel Mocha,12.0,340,130,14.0,10.0,0.0,25,270,50,3,43,3,95,Tall,Coconut,Whipped Cream
espresso,Salted Caramel Mocha,12.0,240,20,2.0,1.0,0.0,5,210,46,3,41,10,95,Tall,Nonfat milk,No Whipped Cream
espresso,Salted Caramel Mocha,12.0,330,80,9.0,6.0,0.0,30,280,53,3,47,10,95,Tall,Nonfat milk,Whipped Cream
espresso,Salted Caramel Mocha,12.0,300,80,9.0,5.0,0.0,25,210,46,3,40,9,95,Tall,Whole Milk,No Whipped Cream
espresso,Salted Caramel Mocha,12.0,400,150,16.0,10.0,0.0,50,280,53,3,46,10,95,Tall,Whole Milk,Whipped Cream
espresso,Salted Caramel Mocha,12.0,280,60,6.0,4.0,0.0,20,220,46,3,40,10,95,Tall,2% Milk,No Whipped Cream
espresso,Salted Caramel Mocha,12.0,370,120,14.0,8.0,0.0,45,290,53,3,46,10,95,Tall,2% Milk,Whipped Cream
espresso,Salted Caramel Mocha,12.0,280,50,5.0,1.5,0.0,0,190,49,4,41,8,95,Tall,Soy (United States),No Whipped Cream
espresso,Salted Caramel Mocha,12.0,370,110,13.0,6.0,0.0,25,260,56,4,47,9,95,Tall,Soy (United States),Whipped Cream
espresso,Salted Caramel Mocha,16.0,300,70,7.0,2.0,0.0,0,280,53,5,43,5,175,Grande,Almond,No Whipped Cream
espresso,Salted Caramel Mocha,16.0,400,140,15.0,7.0,0.0,30,360,61,5,50,6,175,Grande,Almond,Whipped Cream
espresso,Salted Caramel Mocha,16.0,320,80,9.0,7.0,0.0,0,260,57,4,48,4,175,Grande,Coconut,No Whipped Cream
espresso,Salted Caramel Mocha,16.0,420,150,17.0,12.0,0.0,30,350,64,4,55,4,175,Grande,Coconut,Whipped Cream
espresso,Salted Caramel Mocha,16.0,320,25,3.0,1.5,0.0,5,270,61,4,53,13,175,Grande,Nonfat milk,No Whipped Cream
espresso,Salted Caramel Mocha,16.0,420,100,11.0,7.0,0.0,35,350,69,4,60,13,175,Grande,Nonfat milk,Whipped Cream
espresso,Salted Caramel Mocha,16.0,400,110,12.0,7.0,0.0,30,270,61,4,53,12,175,Grande,Whole Milk,No Whipped Cream
espresso,Salted Caramel Mocha,16.0,500,180,20.0,12.0,0.0,55,360,68,4,59,13,175,Grande,Whole Milk,Whipped Cream
espresso,Salted Caramel Mocha,16.0,360,70,8.0,5.0,0.0,20,280,61,4,53,12,175,Grande,2% Milk,No Whipped Cream
espresso,Salted Caramel Mocha,16.0,470,150,16.0,10.0,0.0,50,370,68,4,59,13,175,Grande,2% Milk,Whipped Cream
espresso,Salted Caramel Mocha,16.0,360,60,7.0,2.0,0.0,0,250,65,5,53,11,175,Grande,Soy (United States),No Whipped Cream
espresso,Salted Caramel Mocha,16.0,470,140,15.0,7.0,0.0,30,340,72,5,60,11,175,Grande,Soy (United States),Whipped Cream
espresso,Salted Caramel Mocha,20.0,370,90,10.0,2.5,0.0,0,350,67,7,54,6,185,Venti,Almond,No Whipped Cream
espresso,Salted Caramel Mocha,20.0,470,160,18.0,7.0,0.0,30,440,74,7,61,7,185,Venti,Almond,Whipped Cream
espresso,Salted Caramel Mocha,20.0,410,110,12.0,10.0,0.0,0,340,72,5,61,5,185,Venti,Coconut,No Whipped Cream
espresso,Salted Caramel Mocha,20.0,510,180,20.0,15.0,0.0,30,420,79,5,68,5,185,Venti,Coconut,Whipped Cream
espresso,Salted Caramel Mocha,20.0,400,35,3.5,2.0,0.0,5,340,77,5,67,16,185,Venti,Nonfat milk,No Whipped Cream
espresso,Salted Caramel Mocha,20.0,510,110,12.0,7.0,0.0,35,430,85,5,74,17,185,Venti,Nonfat milk,Whipped Cream
espresso,Salted Caramel Mocha,20.0,500,140,15.0,9.0,0.0,35,350,77,5,67,16,185,Venti,Whole Milk,No Whipped Cream
espresso,Salted Caramel Mocha,20.0,610,210,23.0,14.0,0.5,65,430,84,5,73,16,185,Venti,Whole Milk,Whipped Cream
espresso,Salted Caramel Mocha,20.0,460,100,11.0,6.0,0.0,30,360,77,5,67,16,185,Venti,2% Milk,No Whipped Cream
espresso,Salted Caramel Mocha,20.0,570,170,19.0,11.0,0.5,60,450,84,5,73,17,185,Venti,2% Milk,Whipped Cream
espresso,Salted Caramel Mocha,20.0,460,80,9.0,2.5,0.0,0,320,82,6,67,14,185,Venti,Soy (United States),No Whipped Cream
espresso,Salted Caramel Mocha,20.0,560,150,17.0,8.0,0.0,30,410,89,6,74,14,185,Venti,Soy (United States),Whipped Cream
espresso,Skinny Mocha,8.0,80,5,1.0,0.5,0.0,5,75,12,2,8,7,75,Short,,
espresso,Skinny Mocha,12.0,130,10,1.0,1.0,0.0,5,115,18,3,12,11,75,Tall,,
espresso,Skinny Mocha,16.0,170,15,1.5,1.0,0.0,5,150,24,4,15,14,150,Grande,,
espresso,Skinny Mocha,20.0,210,20,2.0,1.5,0.0,10,190,30,5,20,18,150,Venti,,
espresso,Starbucks Doubleshot® on Ice Beverage,12.0,60,10,1.0,0.0,0.0,0,35,13,0,11,1,150,Tall,Almond,Sweetened
espresso,Starbucks Doubleshot® on Ice Beverage,12.0,25,10,1.0,0.0,0.0,0,35,3,0,1,1,150,Tall,Almond,Unsweetened
espresso,Starbucks Doubleshot® on Ice Beverage,12.0,70,10,1.5,1.5,0.0,0,30,13,0,12,1,150,Tall,Coconut,Sweetened
espresso,Starbucks Doubleshot® on Ice Beverage,12.0,30,10,1.5,1.5,0.0,0,30,4,0,2,1,150,Tall,Coconut,Unsweetened
espresso,Starbucks Doubleshot® on Ice Beverage,12.0,70,0,0.0,0.0,0.0,0,35,14,0,13,3,150,Tall,Nonfat milk,Sweetened
espresso,Starbucks Doubleshot® on Ice Beverage,12.0,30,0,0.0,0.0,0.0,0,35,5,0,3,3,150,Tall,Nonfat milk,Unsweetened
espresso,Starbucks Doubleshot® on Ice Beverage,12.0,90,20,2.0,1.0,0.0,5,35,14,0,13,2,150,Tall,Whole Milk,Sweetened
espresso,Starbucks Doubleshot® on Ice Beverage,12.0,45,20,2.0,1.0,0.0,5,35,4,0,3,2,150,Tall,Whole Milk,Unsweetened
espresso,Starbucks Doubleshot® on Ice Beverage,12.0,80,10,1.0,1.0,0.0,5,35,14,0,13,3,150,Tall,2% Milk,Sweetened
espresso,Starbucks Doubleshot® on Ice Beverage,12.0,80,10,1.0,1.0,0.0,5,35,14,0,13,3,150,Tall,2% Milk,Unsweetened
espresso,Starbucks Doubleshot® on Ice Beverage,12.0,80,10,1.0,0.0,0.0,0,30,15,0,13,2,150,Tall,Soy (United States),Sweetened
espresso,Starbucks Doubleshot® on Ice Beverage,12.0,40,10,1.0,0.0,0.0,0,30,5,0,3,2,150,Tall,Soy (United States),Unsweetened
espresso,Starbucks Doubleshot® on Ice Beverage,16.0,90,10,1.0,0.0,0.0,0,35,18,0,16,1,225,Grande,Almond,Sweetened
espresso,Starbucks Doubleshot® on Ice Beverage,16.0,30,10,1.0,0.0,0.0,0,35,3,0,1,1,225,Grande,Almond,Unsweetened
espresso,Starbucks Doubleshot® on Ice Beverage,16.0,90,10,1.5,1.5,0.0,0,35,19,0,17,1,225,Grande,Coconut,Sweetened
espresso,Starbucks Doubleshot® on Ice Beverage,16.0,35,10,1.5,1.5,0.0,0,35,4,0,2,1,225,Grande,Coconut,Unsweetened
espresso,Starbucks Doubleshot® on Ice Beverage,16.0,90,0,0.0,0.0,0.0,0,35,20,0,18,3,225,Grande,Nonfat milk,Sweetened
espresso,Starbucks Doubleshot® on Ice Beverage,16.0,35,0,0.0,0.0,0.0,0,35,5,0,3,3,225,Grande,Nonfat milk,Unsweetened
espresso,Starbucks Doubleshot® on Ice Beverage,16.0,110,20,2.0,1.0,0.0,5,35,20,0,18,3,225,Grande,Whole Milk,Sweetened
espresso,Starbucks Doubleshot® on Ice Beverage,16.0,50,20,2.0,1.0,0.0,5,35,5,0,3,3,225,Grande,Whole Milk,Unsweetened
espresso,Starbucks Doubleshot® on Ice Beverage,16.0,100,10,1.0,1.0,0.0,5,40,20,0,18,3,225,Grande,2% Milk,Sweetened
espresso,Starbucks Doubleshot® on Ice Beverage,16.0,100,10,1.0,1.0,0.0,5,40,20,0,18,3,225,Grande,2% Milk,Unsweetened
espresso,Starbucks Doubleshot® on Ice Beverage,16.0,100,10,1.0,0.0,0.0,0,35,21,0,18,3,225,Grande,Soy (United States),Sweetened
espresso,Starbucks Doubleshot® on Ice Beverage,16.0,45,10,1.0,0.0,0.0,0,35,6,0,3,3,225,Grande,Soy (United States),Unsweetened
espresso,Starbucks Doubleshot® on Ice Beverage,24.0,140,15,1.5,0.0,0.0,0,50,30,0,26,2,375,Venti Iced,Almond,Sweetened
espresso,Starbucks Doubleshot® on Ice Beverage,24.0,45,15,1.5,0.0,0.0,0,55,6,0,1,2,375,Venti Iced,Almond,Unsweetened
espresso,Starbucks Doubleshot® on Ice Beverage,24.0,150,20,2.0,2.0,0.0,0,50,32,0,28,2,375,Venti Iced,Coconut,Sweetened
espresso,Starbucks Doubleshot® on Ice Beverage,24.0,50,20,2.0,2.0,0.0,0,50,7,0,3,2,375,Venti Iced,Coconut,Unsweetened
espresso,Starbucks Doubleshot® on Ice Beverage,24.0,150,0,0.0,0.0,0.0,0,50,33,0,29,4,375,Venti Iced,Nonfat milk,Sweetened
espresso,Starbucks Doubleshot® on Ice Beverage,24.0,50,0,0.0,0.0,0.0,0,50,8,0,5,4,375,Venti Iced,Nonfat milk,Unsweetened
espresso,Starbucks Doubleshot® on Ice Beverage,24.0,180,25,3.0,1.5,0.0,10,50,33,0,29,4,375,Venti Iced,Whole Milk,Sweetened
espresso,Starbucks Doubleshot® on Ice Beverage,24.0,80,25,3.0,1.5,0.0,10,55,8,0,4,4,375,Venti Iced,Whole Milk,Unsweetened
espresso,Starbucks Doubleshot® on Ice Beverage,24.0,170,15,2.0,1.0,0.0,5,55,33,0,29,4,375,Venti Iced,2% Milk,Sweetened
espresso,Starbucks Doubleshot® on Ice Beverage,24.0,170,15,2.0,1.0,0.0,5,55,33,0,29,4,375,Venti Iced,2% Milk,Unsweetened
espresso,Starbucks Doubleshot® on Ice Beverage,24.0,170,15,1.5,0.0,0.0,0,45,34,0,29,4,375,Venti Iced,Soy (United States),Sweetened
espresso,Starbucks Doubleshot® on Ice Beverage,24.0,70,15,1.5,0.0,0.0,0,50,10,0,5,4,375,Venti Iced,Soy (United States),Unsweetened
espresso,Starbucks® Blonde Caffè Americano,8.0,5,0,0.0,0.0,0.0,0,5,1,0,0,0,85,Short,,
espresso,Starbucks® Blonde Caffè Americano,12.0,10,0,0.0,0.0,0.0,0,10,1,0,0,1,170,Tall,,
espresso,Starbucks® Blonde Caffè Americano,16.0,15,0,0.0,0.0,0.0,0,10,2,0,0,1,255,Grande,,
espresso,Starbucks® Blonde Caffè Americano,20.0,15,0,0.0,0.0,0.0,0,15,3,0,0,1,340,Venti,,
espresso,Starbucks® Blonde Caffè Latte,8.0,50,30,3.0,0.0,0.0,0,85,5,1,3,1,85,Short,Almond,
espresso,Starbucks® Blonde Caffè Latte,8.0,70,35,4.0,4.0,0.0,0,75,7,0,6,1,85,Short,Coconut,
espresso,Starbucks® Blonde Caffè Latte,8.0,70,0,0.0,0.0,0.0,5,80,10,0,9,7,85,Short,Nonfat milk,
espresso,Starbucks® Blonde Caffè Latte,8.0,120,50,6.0,3.5,0.0,20,80,10,0,9,6,85,Short,Whole Milk,
espresso,Starbucks® Blonde Caffè Latte,8.0,100,35,3.5,2.5,0.0,15,85,10,0,9,6,85,Short,2% Milk,
espresso,Starbucks® Blonde Caffè Latte,8.0,100,25,3.0,0.0,0.0,0,65,12,1,9,5,85,Short,Soy (United States),
espresso,Starbucks® Blonde Caffè Latte,12.0,80,45,5.0,0.0,0.0,0,130,7,1,4,2,85,Tall,Almond,
espresso,Starbucks® Blonde Caffè Latte,12.0,110,60,7.0,6.0,0.0,0,120,11,0,9,1,85,Tall,Coconut,
espresso,Starbucks® Blonde Caffè Latte,12.0,100,0,0.0,0.0,0.0,5,120,15,0,14,10,85,Tall,Nonfat milk,
espresso,Starbucks® Blonde Caffè Latte,12.0,180,90,9.0,5.0,0.0,30,125,15,0,14,9,85,Tall,Whole Milk,
espresso,Starbucks® Blonde Caffè Latte,12.0,150,50,6.0,3.5,0.0,25,135,15,0,14,10,85,Tall,2% Milk,
espresso,Starbucks® Blonde Caffè Latte,12.0,150,40,4.5,0.5,0.0,0,105,18,1,14,8,85,Tall,Soy (United States),
espresso,Starbucks® Blonde Caffè Latte,16.0,100,60,6.0,0.5,0.0,0,160,9,2,5,3,170,Grande,Almond,
espresso,Starbucks® Blonde Caffè Latte,16.0,140,70,8.0,8.0,0.0,0,150,14,0,12,1,170,Grande,Coconut,
espresso,Starbucks® Blonde Caffè Latte,16.0,130,5,0.0,0.0,0.0,5,150,20,0,18,13,170,Grande,Nonfat milk,
espresso,Starbucks® Blonde Caffè Latte,16.0,230,110,12.0,7.0,0.0,35,160,19,0,18,12,170,Grande,Whole Milk,
espresso,Starbucks® Blonde Caffè Latte,16.0,190,70,7.0,4.5,0.0,30,170,19,0,18,13,170,Grande,2% Milk,
espresso,Starbucks® Blonde Caffè Latte,16.0,190,50,6.0,0.5,0.0,0,135,24,1,18,10,170,Grande,Soy (United States),
espresso,Starbucks® Blonde Caffè Latte,20.0,130,70,8.0,0.5,0.0,0,210,11,2,7,4,170,Venti,Almond,
espresso,Starbucks® Blonde Caffè Latte,20.0,170,100,11.0,10.0,0.0,0,190,18,0,15,2,170,Venti,Coconut,
espresso,Starbucks® Blonde Caffè Latte,20.0,170,5,0.0,0.0,0.0,10,200,25,0,24,17,170,Venti,Nonfat milk,
espresso,Starbucks® Blonde Caffè Latte,20.0,300,140,15.0,9.0,0.0,45,200,24,0,23,15,170,Venti,Whole Milk,
espresso,Starbucks® Blonde Caffè Latte,20.0,250,80,9.0,6.0,0.0,40,220,24,0,23,16,170,Venti,2% Milk,
espresso,Starbucks® Blonde Caffè Latte,20.0,240,60,7.0,1.0,0.0,0,170,30,2,23,13,170,Venti,Soy (United States),
espresso,Starbucks® Blonde Caramel Cloud Macchiato,8.0,100,30,3.5,0.5,0.0,0,85,17,1,14,2,85,Short,Almond,
espresso,Starbucks® Blonde Caramel Cloud Macchiato,8.0,120,35,4.0,3.5,0.0,0,90,19,0,16,1,85,Short,Coconut,
espresso,Starbucks® Blonde Caramel Cloud Macchiato,8.0,110,10,1.0,0.5,0.0,5,85,21,0,19,6,85,Short,Nonfat milk,
espresso,Starbucks® Blonde Caramel Cloud Macchiato,8.0,160,50,6.0,3.5,0.0,20,90,20,0,19,5,85,Short,Whole Milk,
espresso,Starbucks® Blonde Caramel Cloud Macchiato,8.0,140,35,4.0,2.5,0.0,15,95,20,0,19,6,85,Short,2% Milk,
espresso,Starbucks® Blonde Caramel Cloud Macchiato,8.0,140,30,3.0,1.0,0.0,0,80,23,1,19,5,85,Short,Soy (United States),
espresso,Starbucks® Blonde Caramel Cloud Macchiato,12.0,150,45,5.0,1.0,0.0,5,140,25,1,21,3,85,Tall,Almond,
espresso,Starbucks® Blonde Caramel Cloud Macchiato,12.0,170,60,6.0,5.0,0.0,5,150,28,0,24,2,85,Tall,Coconut,
espresso,Starbucks® Blonde Caramel Cloud Macchiato,12.0,170,15,1.5,1.0,0.0,10,140,31,0,28,9,85,Tall,Nonfat milk,
espresso,Starbucks® Blonde Caramel Cloud Macchiato,12.0,240,80,9.0,5.0,0.0,25,140,31,0,28,9,85,Tall,Whole Milk,
espresso,Starbucks® Blonde Caramel Cloud Macchiato,12.0,210,50,6.0,3.5,0.0,20,150,31,0,28,9,85,Tall,2% Milk,
espresso,Starbucks® Blonde Caramel Cloud Macchiato,12.0,210,45,5.0,1.0,0.0,5,130,34,1,28,7,85,Tall,Soy (United States),
espresso,Starbucks® Blonde Caramel Cloud Macchiato,16.0,200,60,7.0,1.5,0.0,5,190,33,1,26,4,170,Grande,Almond,
espresso,Starbucks® Blonde Caramel Cloud Macchiato,16.0,220,70,8.0,7.0,0.0,5,200,36,1,30,3,170,Grande,Coconut,
espresso,Starbucks® Blonde Caramel Cloud Macchiato,16.0,220,15,1.5,1.0,0.0,10,180,39,0,35,12,170,Grande,Nonfat milk,
espresso,Starbucks® Blonde Caramel Cloud Macchiato,16.0,300,100,11.0,6.0,0.0,35,190,39,0,34,11,170,Grande,Whole Milk,
espresso,Starbucks® Blonde Caramel Cloud Macchiato,16.0,270,60,7.0,4.5,0.0,25,200,39,0,34,11,170,Grande,2% Milk,
espresso,Starbucks® Blonde Caramel Cloud Macchiato,16.0,270,50,6.0,1.5,0.0,5,170,44,1,36,10,170,Grande,Soy (United States),
espresso,Starbucks® Blonde Caramel Cloud Macchiato,20.0,240,70,8.0,1.5,0.0,5,240,39,2,31,5,170,Venti,Almond,
espresso,Starbucks® Blonde Caramel Cloud Macchiato,20.0,270,90,10.0,8.0,0.0,5,250,43,1,37,3,170,Venti,Coconut,
espresso,Starbucks® Blonde Caramel Cloud Macchiato,20.0,270,15,1.5,1.0,0.0,10,240,49,0,44,15,170,Venti,Nonfat milk,
espresso,Starbucks® Blonde Caramel Cloud Macchiato,20.0,380,130,14.0,8.0,0.0,45,240,48,0,43,15,170,Venti,Whole Milk,
espresso,Starbucks® Blonde Caramel Cloud Macchiato,20.0,330,80,9.0,6.0,0.0,35,260,48,0,43,15,170,Venti,2% Milk,
espresso,Starbucks® Blonde Caramel Cloud Macchiato,20.0,330,70,7.0,1.5,0.0,5,220,53,2,44,13,170,Venti,Soy (United States),
espresso,Starbucks® Blonde Cocoa Cloud Macchiato,8.0,110,30,3.5,1.0,0.0,0,120,18,1,15,2,85,Short,Almond,
espresso,Starbucks® Blonde Cocoa Cloud Macchiato,8.0,120,35,4.0,3.5,0.0,0,125,20,0,17,1,85,Short,Coconut,
espresso,Starbucks® Blonde Cocoa Cloud Macchiato,8.0,120,10,1.0,0.5,0.0,5,120,22,0,20,6,85,Short,Nonfat milk,
espresso,Starbucks® Blonde Cocoa Cloud Macchiato,8.0,160,50,6.0,3.5,0.0,20,120,22,0,19,6,85,Short,Whole Milk,
espresso,Starbucks® Blonde Cocoa Cloud Macchiato,8.0,140,35,4.0,2.5,0.0,15,125,22,0,19,6,85,Short,2% Milk,
espresso,Starbucks® Blonde Cocoa Cloud Macchiato,8.0,140,30,3.0,1.0,0.0,0,110,24,1,20,5,85,Short,Soy (United States),
espresso,Starbucks® Blonde Cocoa Cloud Macchiato,12.0,160,50,5.0,1.0,0.0,5,170,27,1,22,3,85,Tall,Almond,
espresso,Starbucks® Blonde Cocoa Cloud Macchiato,12.0,180,60,6.0,5.0,0.0,5,180,29,1,25,2,85,Tall,Coconut,
espresso,Starbucks® Blonde Cocoa Cloud Macchiato,12.0,180,15,1.5,1.0,0.0,10,170,32,0,29,9,85,Tall,Nonfat milk,
espresso,Starbucks® Blonde Cocoa Cloud Macchiato,12.0,240,80,9.0,5.0,0.0,25,180,32,0,29,9,85,Tall,Whole Milk,
espresso,Starbucks® Blonde Cocoa Cloud Macchiato,12.0,220,50,6.0,4.0,0.0,20,190,32,0,29,9,85,Tall,2% Milk,
espresso,Starbucks® Blonde Cocoa Cloud Macchiato,12.0,220,45,5.0,1.5,0.0,5,160,35,1,29,8,85,Tall,Soy (United States),
espresso,Starbucks® Blonde Cocoa Cloud Macchiato,16.0,200,60,7.0,1.5,0.0,5,220,34,2,27,4,170,Grande,Almond,
espresso,Starbucks® Blonde Cocoa Cloud Macchiato,16.0,230,70,8.0,7.0,0.0,5,230,37,1,31,3,170,Grande,Coconut,
espresso,Starbucks® Blonde Cocoa Cloud Macchiato,16.0,230,15,1.5,1.0,0.0,10,220,42,0,37,12,170,Grande,Nonfat milk,
espresso,Starbucks® Blonde Cocoa Cloud Macchiato,16.0,310,100,11.0,7.0,0.0,35,220,41,0,36,12,170,Grande,Whole Milk,
espresso,Starbucks® Blonde Cocoa Cloud Macchiato,16.0,280,70,8.0,5.0,0.0,30,240,41,0,36,12,170,Grande,2% Milk,
espresso,Starbucks® Blonde Cocoa Cloud Macchiato,16.0,280,60,6.0,1.5,0.0,5,200,45,1,37,10,170,Grande,Soy (United States),
espresso,Starbucks® Blonde Cocoa Cloud Macchiato,20.0,250,70,8.0,1.5,0.0,5,270,41,2,33,5,170,Venti,Almond,
espresso,Starbucks® Blonde Cocoa Cloud Macchiato,20.0,280,90,10.0,8.0,0.0,5,290,45,1,38,3,170,Venti,Coconut,
espresso,Starbucks® Blonde Cocoa Cloud Macchiato,20.0,280,15,2.0,1.0,0.0,10,270,50,0,45,16,170,Venti,Nonfat milk,
